"TOA5","Compass_OWC_W_321","CR1000X","28729","CR1000X.Std.05.01","CPU:COMPASS_v3.1.CR1X","35972","WaterLevel600C"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDC(1)","Barometric_Pressure600C","Temperature600C","Actual_Conductivity600C","Specific_Conductivity600C","Salinity600C","TDS600C","Water_Density600C","Resistivity600C","pH600C","pH_mV600C","pH_ORP600C","RDO_concen600C","RDO_perc_sat600C","RDO_part_Pressure600C","Pressure600C","Depth600C","Voltage_Ext600C","Battery_Int600C"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-08-24 14:45:00",5488,321,"28729","913IN-SITU AT600V229 8",749.3,19.14,955.98,1076.4,0.54,0.7,0.999,1046.1,6.55,4.1,-378.9,0,0,-0.43,0.357,44.21,11.56,85
"2022-08-24 15:00:00",5489,321,"28729","913IN-SITU AT600V229 8",749.1,19.14,955.92,1076.3,0.54,0.7,0.999,1046.1,6.56,4,-378.8,0,0,-0.42,0.358,44.3,11.569,85
"2022-08-24 15:15:00",5490,321,"28729","913IN-SITU AT600V229 8",749.1,19.12,954.83,1075.5,0.54,0.7,0.999,1047.3,6.54,5,-378.5,0,0,-0.43,0.358,44.29,11.56,85
"2022-08-24 15:30:00",5491,321,"28729","913IN-SITU AT600V229 8",749.06,19.13,954.48,1074.9,0.54,0.7,0.999,1047.7,6.55,4.1,-379.1,0,0,-0.43,0.359,44.3,11.56,85
"2022-08-24 15:45:00",5492,321,"28729","913IN-SITU AT600V229 8",749.04,19.14,955.02,1075.4,0.54,0.7,0.999,1047.1,6.55,4.1,-378.8,0,0,-0.43,0.357,44.2,11.569,85
"2022-08-24 16:00:00",5493,321,"28729","913IN-SITU AT600V229 8",749,19.14,955.26,1075.7,0.54,0.7,0.999,1046.8,6.56,3.9,-378.9,0,0,-0.43,0.356,44.14,11.551,85
"2022-08-24 16:15:00",5494,321,"28729","913IN-SITU AT600V229 8",748.93,19.11,954.75,1075.8,0.54,0.7,0.999,1047.4,6.54,4.8,-378.1,0,0,-0.42,0.357,44.17,11.569,85
"2022-08-24 16:30:00",5495,321,"28729","913IN-SITU AT600V229 8",748.69,19.13,955.05,1075.7,0.54,0.7,0.999,1047.1,6.56,3.8,-378.7,0,0,-0.43,0.357,44.17,11.569,85
"2022-08-24 16:45:00",5496,321,"28729","913IN-SITU AT600V229 8",748.59,19.13,947.45,1067,0.53,0.69,0.999,1055.5,6.56,3.8,-378.6,0,0,-0.42,0.356,44.11,11.569,85
"2022-08-24 17:00:00",5497,321,"28729","913IN-SITU AT600V229 8",748.75,19.13,948.22,1067.9,0.53,0.69,0.999,1054.6,6.56,3.7,-378.7,0,0,-0.43,0.356,44.13,11.578,85
"2022-08-24 17:15:00",5498,321,"28729","913IN-SITU AT600V229 8",748.79,19.11,954.07,1074.9,0.54,0.7,0.999,1048.1,6.55,4.5,-378.8,0,0,-0.42,0.358,44.26,11.569,85
"2022-08-24 17:30:00",5499,321,"28729","913IN-SITU AT600V229 8",748.82,19.12,953.88,1074.5,0.54,0.7,0.999,1048.4,6.56,3.7,-379,0,0,-0.43,0.357,44.22,11.578,85
"2022-08-24 17:45:00",5500,321,"28729","913IN-SITU AT600V229 8",748.8,19.13,954.18,1074.8,0.54,0.7,0.999,1048,6.56,3.5,-378.8,0,0,-0.42,0.357,44.25,11.56,85
"2022-08-24 18:00:00",5501,321,"28729","913IN-SITU AT600V229 8",748.76,19.13,954.37,1074.9,0.54,0.7,0.999,1047.8,6.56,3.4,-378.7,0,0,-0.43,0.357,44.22,11.578,85
"2022-08-24 18:15:00",5502,321,"28729","913IN-SITU AT600V229 8",748.75,19.08,953.12,1074.5,0.54,0.7,0.999,1049.2,6.55,4.2,-378.1,0,0,-0.42,0.358,44.22,11.56,85
