"TOA5","Compass_PTR_UP_313","CR1000X","28734","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","60334","WaterLevel600A"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDA(1)","Barometric_Pressure600A","Temperature600A","Actual_Conductivity600A","Specific_Conductivity600A","Salinity600A","TDS600A","Water_Density600A","Resistivity600A","pH600A","pH_mV600A","pH_ORP600A","RDO_concen600A","RDO_perc_sat600A","RDO_part_Pressure600A","Pressure600A","Depth600A","Voltage_Ext600A","Battery_Int600A"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-03-09 00:00:00",28453,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.33,11.18,4171.4,5667,3.06,3.68,1.002,239.73,6.55,-11.7,40.5,0,0,-0.63,3.447,261.68,11.299,58
"2023-03-09 00:15:00",28454,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.39,11.18,4172.1,5668.2,3.07,3.68,1.002,239.68,6.55,-11.7,43.6,0,0,-0.63,3.447,261.71,11.299,58
"2023-03-09 00:30:00",28455,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.14,11.18,4172.6,5668.8,3.07,3.68,1.002,239.66,6.55,-11.7,46.6,0,0,-0.64,3.45,261.93,11.299,58
"2023-03-09 00:45:00",28456,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.2,11.18,4173.3,5670.1,3.07,3.69,1.002,239.62,6.55,-11.7,49.4,0,0,-0.63,3.449,261.82,11.299,58
"2023-03-09 01:00:00",28457,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.11,11.18,4173.3,5669.7,3.07,3.69,1.002,239.62,6.55,-11.7,42,0,0,-0.63,3.451,261.99,11.308,58
"2023-03-09 01:15:00",28458,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.03,11.18,4173.3,5669.9,3.07,3.69,1.002,239.62,6.55,-11.7,44.9,0,0,-0.63,3.452,262.08,11.29,58
"2023-03-09 01:30:00",28459,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",758.93,11.18,4173.4,5670.1,3.07,3.69,1.002,239.61,6.55,-11.7,47.9,0,0,-0.64,3.455,262.23,11.281,58
"2023-03-09 01:45:00",28460,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",758.77,11.18,4174.2,5671.2,3.07,3.69,1.002,239.56,6.55,-11.7,50.8,0,0,-0.64,3.458,262.49,11.299,58
"2023-03-09 02:00:00",28461,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",758.78,11.18,4173.5,5669.9,3.07,3.69,1.002,239.61,6.55,-11.7,41.8,0,0,-0.64,3.462,262.74,11.281,58
"2023-03-09 02:15:00",28462,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",758.64,11.18,4172.9,5669.3,3.07,3.69,1.002,239.64,6.55,-11.8,44.1,0,0,-0.63,3.463,262.86,11.299,58
"2023-03-09 02:30:00",28463,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",758.54,11.18,4174,5671.1,3.07,3.69,1.002,239.58,6.55,-11.7,46.6,0,0,-0.63,3.463,262.83,11.299,58
"2023-03-09 02:45:00",28464,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",758.49,11.18,4174.2,5671.4,3.07,3.69,1.002,239.57,6.55,-11.8,49.4,0,0,-0.64,3.466,263,11.308,58
"2023-03-09 03:00:00",28465,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",758.45,11.18,4174.4,5671.5,3.07,3.69,1.002,239.55,6.55,-11.8,41.3,0,0,-0.63,3.468,263.19,11.281,58
